iter	Logloss
0	0.5269356386
1	0.4310664051
2	0.3749326254
3	0.3436106719
4	0.3217205111
5	0.3071269048
6	0.2979204336
7	0.2916487035
8	0.2858683366
9	0.282342044
10	0.2797913935
11	0.2770915631
12	0.2752532643
13	0.2737157681
14	0.2721082152
15	0.2711752646
16	0.2701401938
17	0.269436383
18	0.2688095251
19	0.268323118
20	0.2677772857
21	0.2674409617
22	0.267025881
23	0.2666656773
24	0.266439675
25	0.2661990984
26	0.2660380708
27	0.2658933759
28	0.2657385753
29	0.2656222496
30	0.2655325974
31	0.2654469679
32	0.2654276954
33	0.2653396466
34	0.2652396243
35	0.2652214833
36	0.2650990916
37	0.2649502293
38	0.264857366
39	0.2647806932
40	0.2647225099
41	0.2646203912
42	0.2645629113
43	0.2644820276
44	0.2644751274
45	0.2644126622
46	0.2643933132
47	0.2643577189
48	0.2643008427
49	0.2642343659
50	0.2641716681
51	0.2641467425
52	0.2640858262
53	0.2640508221
54	0.263979061
55	0.2639628551
56	0.2639311819
57	0.2639280836
58	0.2638916419
59	0.2638556352
60	0.2638212102
61	0.2637876872
62	0.2637661859
63	0.2637408482
64	0.2637258843
65	0.2636973314
66	0.2636778574
67	0.2636713673
68	0.2636438084
69	0.2636066972
70	0.2635841938
71	0.2635584951
72	0.2635405773
73	0.2634697641
74	0.2634511697
75	0.263432958
76	0.2634174319
77	0.2633953326
78	0.2633771262
79	0.2633405963
80	0.2633286581
81	0.2633167207
82	0.2632948452
83	0.2632759082
84	0.2632256128
85	0.2632053663
86	0.2631861099
87	0.2631395556
88	0.2631228002
89	0.2631227998
90	0.2630809678
91	0.2630619265
92	0.2630431651
93	0.2630352376
94	0.2630064156
95	0.2629783558
96	0.2629694426
97	0.2629534824
98	0.2629395545
99	0.2629273635
100	0.2629079428
101	0.2629078551
102	0.262899374
103	0.2628931897
104	0.2628579815
105	0.2628291396
106	0.2628042658
107	0.262791951
108	0.2627794493
109	0.2627782514
110	0.2627400154
111	0.2627227634
112	0.2627115468
113	0.2626930012
114	0.262684553
115	0.262683867
116	0.2626468729
117	0.2626219605
118	0.2626142623
119	0.2625893712
120	0.2625646568
121	0.2625581602
122	0.2625496087
123	0.2625390374
124	0.2625118244
125	0.2624837934
126	0.2624690764
127	0.2624690751
128	0.2624545537
129	0.2624213655
130	0.2624061075
131	0.2623957604
132	0.2623899928
133	0.2623779708
134	0.262353098
135	0.2623318213
136	0.2622985624
137	0.2622835645
138	0.2622696759
139	0.2622525981
140	0.2622486988
141	0.2622332138
142	0.2622286139
143	0.2622048705
144	0.2621904772
145	0.2621794725
146	0.2621660111
147	0.262143876
148	0.2621349411
149	0.2621303525
150	0.2621273598
151	0.2621010497
152	0.2620715652
153	0.2620582683
154	0.2620455773
155	0.262036191
156	0.2620034495
157	0.2619874564
158	0.2619755635
159	0.2619563353
160	0.2619376011
161	0.2619205552
162	0.2618999996
163	0.2618893028
164	0.2618800955
165	0.2618427465
166	0.2618397363
167	0.2618253804
168	0.261807921
169	0.2618019572
170	0.2617815702
171	0.2617706156
172	0.2617645407
173	0.2617626821
174	0.2617502922
175	0.2617362769
176	0.261716074
177	0.2617072321
178	0.2616959211
179	0.2616911903
180	0.2616778595
181	0.2616445278
182	0.2616244152
183	0.2616010642
184	0.2615831936
185	0.2615799173
186	0.261576401
187	0.261566105
188	0.2615660446
189	0.2615539676
190	0.2615453394
191	0.261537923
192	0.2615149069
193	0.2615104314
194	0.2614956734
195	0.2614933381
196	0.2614819588
197	0.2614789508
198	0.2614615835
199	0.2614579487
200	0.2614415824
201	0.2614272256
202	0.2614213293
203	0.2614105824
204	0.2613974232
205	0.2613727557
206	0.261353706
207	0.2613345214
208	0.2613250596
209	0.2613218065
210	0.2613188946
211	0.2613114621
212	0.2613034365
213	0.2612982419
214	0.2612946428
215	0.2612857003
216	0.2612691175
217	0.2612568179
218	0.2612435974
219	0.2612239045
220	0.2612133506
221	0.2612074596
222	0.2612006214
223	0.2611816151
224	0.2611687486
225	0.261154292
226	0.2611452594
227	0.2611408125
228	0.2611259009
229	0.2611148065
230	0.261105371
231	0.2610894246
232	0.2610758217
233	0.2610666847
234	0.2610479377
235	0.2610373592
236	0.2610280814
237	0.2609980871
238	0.2609952121
239	0.2609901883
240	0.2609709186
241	0.2609519191
242	0.2609362204
243	0.2609187257
244	0.2609077668
245	0.2608937276
246	0.2608772324
247	0.2608385
248	0.2608363151
249	0.2608308783
250	0.2608306804
251	0.2608154897
252	0.2608067332
253	0.2607972542
254	0.2607735462
255	0.2607680841
256	0.2607462516
257	0.2607352798
258	0.2607315661
259	0.260723615
260	0.2607065548
261	0.2606907906
262	0.2606881215
263	0.2606775411
264	0.260671542
265	0.2606699576
266	0.2606617852
267	0.2606494967
268	0.2606422521
269	0.2606381956
270	0.2606348526
271	0.2606293498
272	0.2606136181
273	0.2605919611
274	0.2605736661
275	0.2605678195
276	0.2605591892
277	0.2605364166
278	0.2605250598
279	0.2605095814
280	0.2605050225
281	0.2604998651
282	0.2604905919
283	0.2604859043
284	0.2604793735
285	0.2604518109
286	0.2604423513
287	0.2604323937
288	0.2604146797
289	0.2604020514
290	0.2603987136
291	0.2603916214
292	0.2603875248
293	0.2603686777
294	0.260365449
295	0.2603519062
296	0.2603466878
297	0.2603310875
298	0.2603278402
299	0.260326702
300	0.2603158313
301	0.2603133992
302	0.2602987068
303	0.2602857949
304	0.2602748201
305	0.2602599398
306	0.2602403118
307	0.2602384633
308	0.2602336385
309	0.2602188808
310	0.2601864276
311	0.2601589649
312	0.2601461095
313	0.2601382219
314	0.2601360828
315	0.2601294867
316	0.2601236632
317	0.2601188943
318	0.2600947935
319	0.2600756473
320	0.26006362
321	0.2600571666
322	0.2600376359
323	0.260025289
324	0.2600150566
325	0.2600094423
326	0.2599903688
327	0.2599833155
328	0.2599613565
329	0.2599443678
330	0.2599355734
331	0.2599319947
332	0.2599284049
333	0.2599266835
334	0.259907335
335	0.2598993823
336	0.2598911592
337	0.259887948
338	0.2598828746
