iter	Passed	Remaining
0	462	461852
1	1130	564361
2	1776	590293
3	2046	509593
4	2429	483565
5	2854	472871
6	3320	471099
7	3530	437785
8	3823	420959
9	4177	413619
10	4400	395604
11	4638	381871
12	4910	372790
13	5365	377881
14	5691	373746
15	6002	369132
16	6402	370232
17	6752	368412
18	7057	364373
19	7481	366572
20	7816	364397
21	8214	365179
22	8609	365704
23	9035	367432
24	9586	373876
25	10104	378541
26	10548	380151
27	10918	379026
28	11291	378062
29	11709	378596
30	12154	379914
31	12529	379028
32	12642	370472
33	13075	371509
34	13368	368594
35	13487	361163
36	13903	361861
37	14361	363584
38	14640	360752
39	15009	360227
40	15441	361185
41	15713	358407
42	16051	357231
43	16506	358637
44	16613	352584
45	16873	349937
46	17158	347916
47	17653	350120
48	17856	346561
49	18183	345491
50	18493	344119
51	18880	344202
52	19296	344793
53	19564	342736
54	19991	343486
55	20370	343396
56	20693	342352
57	20807	337941
58	21140	337174
59	21461	336232
60	21834	336109
61	22139	334944
62	22537	335202
63	23012	336558
64	23470	337620
65	23929	338633
66	24328	338780
67	24667	338093
68	25050	337997
69	25532	339215
70	25811	337729
71	26071	336037
72	26354	334669
73	26692	334017
74	26872	331428
75	27138	329943
76	27463	329200
77	27638	326702
78	27879	325027
79	28083	322956
80	28318	321288
81	28599	320171
82	28911	319417
83	29260	319084
84	29656	319238
85	30055	319422
86	30389	318918
87	30721	318386
88	31122	318569
89	31228	315756
90	31455	314206
91	31760	313465
92	32081	312878
93	32298	311302
94	32674	311264
95	32889	309705
96	33198	309055
97	33471	308073
98	33741	307077
99	33971	305740
100	34141	303893
101	34239	301441
102	34556	300939
103	34732	299231
104	35110	299274
105	35498	299389
106	35770	298537
107	36133	298433
108	36495	298326
109	36613	296240
110	36944	295887
111	37206	294996
112	37489	294275
113	37826	293986
114	38022	292608
115	38164	290837
116	38563	291040
117	38810	290089
118	39039	289025
119	39536	289936
120	39887	289760
121	40117	288716
122	40522	288931
123	40777	288071
124	41186	288308
125	41681	289124
126	42041	288996
127	42167	287264
128	42503	286982
129	42905	287134
130	43269	287034
131	43657	287078
132	43961	286578
133	44297	286278
134	44740	286668
135	44975	285728
136	45383	285883
137	45827	286257
138	46168	285976
139	46514	285732
140	46814	285201
141	47277	285662
142	47665	285656
143	48051	285639
144	48369	285214
145	48753	285175
146	49032	284523
147	49495	284931
148	49858	284764
149	50122	284025
150	50374	283230
151	50799	283405
152	51109	282941
153	51417	282460
154	51653	281596
155	51894	280761
156	52360	281144
157	52864	281719
158	53142	281089
159	53538	281075
160	53875	280752
161	54163	280181
162	54555	280139
163	54949	280110
164	55245	279573
165	55617	279427
166	55939	279029
167	56177	278214
168	56476	277703
169	56794	277289
170	57092	276783
171	57299	275838
172	57465	274707
173	57662	273730
174	58067	273748
175	58349	273181
176	58805	273426
177	59034	272620
178	59441	272633
179	59600	271515
180	59815	270657
181	60112	270176
182	60399	269652
183	60680	269105
184	60950	268511
185	61369	268576
186	61544	267570
187	61897	267344
188	62246	267099
189	62626	266986
190	63079	267181
191	63322	266480
192	63539	265682
193	63775	264966
194	64181	264953
195	64457	264408
196	64878	264454
197	65106	263714
198	65348	263037
199	65625	262501
200	65825	261666
201	66319	261993
202	66639	261634
203	67035	261570
204	67391	261346
205	67569	260437
206	67791	259702
207	68102	259314
208	68347	258673
209	68539	257839
210	68903	257653
211	69381	257889
212	69621	257240
213	69833	256492
214	70098	255940
215	70464	255761
216	70803	255481
217	71102	255055
218	71411	254668
219	71636	253983
220	72088	254102
221	72257	253227
222	72583	252904
223	73128	253337
224	73508	253196
225	73907	253118
226	74318	253077
227	74653	252774
228	74932	252282
229	75221	251829
230	75386	250962
231	75816	250977
232	76363	251375
233	76763	251285
234	76978	250591
235	77232	250023
236	77492	249478
237	77702	248779
238	77956	248220
239	78383	248213
240	78583	247488
241	78877	247062
242	79104	246429
243	79368	245912
244	79543	245122
245	79852	244750
246	80148	244339
247	80487	244059
248	80702	243402
249	80899	242697
250	81051	241862
251	81313	241359
252	81472	240553
253	81855	240410
254	82203	240163
255	82536	239872
256	82918	239722
257	83366	239759
258	83703	239476
259	84160	239534
260	84587	239502
261	84954	239298
262	85435	239413
263	85779	239141
264	86032	238617
265	86236	237960
266	86586	237707
267	86926	237426
268	87174	236894
269	87488	236542
270	87692	235897
271	87843	235111
272	88176	234814
273	88473	234423
274	88816	234152
